Country(s) of origin,City / Landmark,Year(s),Initial(s),Symbol(s),Person,Purpose,Animal,Sport,Material,Shape,Size (cm),Condition,Price (£),Image front,Image back
USA,Yellowstone National Park,Unknown,,,,Souvenir,Bear,,Bronze,Circle,1.9,Very good,25,https://i.ebayimg.com/images/g/ZS8AAOSwHDJn~owN/s-l1600.webp,https://i.ebayimg.com/images/g/emwAAOSwdp9n~oxG/s-l1600.webp
USA,Liberty Bell,1776 - 1976,,"Flag, Bell",,Commemoration,Eagle,,Bronze,Circle,3.8,Very good,35,https://jewelryrevivals.com/images/detailed/5/3470b.jpg,https://en.numista.com/catalogue/photos/etats-unis/6062f2ce4af386.02397408-original.jpg
Canada,Montreal,1976,,Olympic logo,,Souvenir,,Running,Bronze,Circle,3.8,Good,30,https://i.ebayimg.com/images/g/ZK4AAOSwc6lhMtik/s-l1600.webp,https://i.ebayimg.com/images/g/uFQAAOSw4sNhMtiO/s-l1600.webp
Canada,Montreal,1976,,Olympic logo,,Souvenir,,Cycling,Bronze,Circle,3.8,Very good,35,https://i.ebayimg.com/images/g/c2QAAOSw8dZkRz2h/s-l1600.webp,https://i.ebayimg.com/images/g/NeEAAOSwJcFkRz2a/s-l1600.webp
USA,San Francisco,1939,,Bridge,,Souvenir World’s Fairs,,,,Octogon,2.5,Very good,35,https://i.ebayimg.com/images/g/qWAAAeSwzERom7lB/s-l1600.webp,https://i.ebayimg.com/images/g/0NgAAeSwExZom7lL/s-l1600.webp
USA,Luisiana,Unknown,,"Eagle, map",,Music Association,,,,,N/A,Very good,25,https://i.ebayimg.com/images/g/wo4AAOSw1nVeRxOd/s-l1600.webp,https://i.ebayimg.com/images/g/RJ0AAOSwaZdeRxOx/s-l1600.webp
USA,,,S.R.,Landscape,,FOB,,Tennis,,Rectangle,2.5,Good,25,https://i.ebayimg.com/images/g/j0cAAOSwAJpluVyH/s-l1600.webp,https://i.ebayimg.com/images/g/TjsAAOSw-dtluVyI/s-l1600.webp
USA,,,S.R.,Landscape,,FOB,,Swimming,,Rectangle,2.5,Good,25,https://i.ebayimg.com/images/g/-lIAAOSwom9luWEN/s-l1600.webp,https://i.ebayimg.com/images/g/Wy8AAOSw18hluWEN/s-l1600.webp
USA,Indianapolis,,,Car,,Souvenir,,Motor,,,3.8,Very good,25,https://i.ebayimg.com/images/g/SE0AAOSwrkVmFpo~/s-l1600.webp,https://i.ebayimg.com/images/g/Dd8AAOSwxklmFppB/s-l1600.webp
USA,,,,Golf club,,Award,,Golf,,,4,Very good,30,https://i.ebayimg.com/images/g/8nkAAOSwu-ln2Job/s-l1600.webp,https://i.ebayimg.com/images/g/frMAAOSwnP1n2Jon/s-l1600.webp